CVE_ENT,CODIGO,ID_ESTRATO,Unidades_Economicas
03,46,0 a 5 personas,10286
03,46,6 a 10 personas,961
03,48,0 a 5 personas,224
03,48,6 a 10 personas,100
03,49,0 a 5 personas,59
03,49,6 a 10 personas,11
03,51,0 a 5 personas,142
03,51,6 a 10 personas,23
03,52,0 a 5 personas,893
03,52,6 a 10 personas,118
03,53,0 a 5 personas,702
03,53,6 a 10 personas,110
03,54,0 a 5 personas,774
03,54,6 a 10 personas,137
03,55,0 a 5 personas,1
03,56,0 a 5 personas,374
03,56,6 a 10 personas,73
03,61,0 a 5 personas,395
03,61,6 a 10 personas,167
03,62,0 a 5 personas,1214
03,62,6 a 10 personas,183
03,71,0 a 5 personas,414
03,71,6 a 10 personas,65
03,72,0 a 5 personas,4159
03,72,6 a 10 personas,708
03,81,0 a 5 personas,5718
03,81,6 a 10 personas,347
04,21,0 a 5 personas,9
04,21,6 a 10 personas,5
04,22,0 a 5 personas,65
04,22,6 a 10 personas,7
04,23,0 a 5 personas,152
04,23,6 a 10 personas,57
04,31,0 a 5 personas,2636
04,31,6 a 10 personas,104
04,32,0 a 5 personas,399
04,32,6 a 10 personas,20
04,33,0 a 5 personas,725
04,33,6 a 10 personas,23
04,43,0 a 5 personas,843
04,43,6 a 10 personas,149
04,46,0 a 5 personas,15162
04,46,6 a 10 personas,766
04,48,0 a 5 personas,124
04,48,6 a 10 personas,43
04,49,0 a 5 personas,39
04,49,6 a 10 personas,6
04,51,0 a 5 personas,174
04,51,6 a 10 personas,28
04,52,0 a 5 personas,611
04,52,6 a 10 personas,143
04,53,0 a 5 personas,403
04,53,6 a 10 personas,38
04,54,0 a 5 personas,615
04,54,6 a 10 personas,95
04,55,0 a 5 personas,1
04,56,0 a 5 personas,549
04,56,6 a 10 personas,40
04,61,0 a 5 personas,344
04,61,6 a 10 personas,189
04,62,0 a 5 personas,1282
04,62,6 a 10 personas,185
04,71,0 a 5 personas,434
04,71,6 a 10 personas,41
04,72,0 a 5 personas,5144
04,72,6 a 10 personas,561
04,81,0 a 5 personas,5455
04,81,6 a 10 personas,363
05,21,0 a 5 personas,75
05,21,6 a 10 personas,19
05,22,0 a 5 personas,91
05,22,6 a 10 personas,31
05,23,0 a 5 personas,413
05,23,6 a 10 personas,134
05,31,0 a 5 personas,4340
05,31,6 a 10 personas,369
05,32,0 a 5 personas,1432
05,32,6 a 10 personas,191
05,33,0 a 5 personas,2157
05,33,6 a 10 personas,363
05,43,0 a 5 personas,2357
05,43,6 a 10 personas,589
05,46,0 a 5 personas,37906
05,46,6 a 10 personas,2839
05,48,0 a 5 personas,458
05,48,6 a 10 personas,154
05,49,0 a 5 personas,113
05,49,6 a 10 personas,27
05,51,0 a 5 personas,372
05,51,6 a 10 personas,77
05,52,0 a 5 personas,2767
05,52,6 a 10 personas,426
05,53,0 a 5 personas,2109
05,53,6 a 10 personas,154
05,54,0 a 5 personas,2147
05,54,6 a 10 personas,368
05,55,0 a 5 personas,6
05,55,6 a 10 personas,2
05,56,0 a 5 personas,1019
05,56,6 a 10 personas,151
05,61,0 a 5 personas,1301
05,61,6 a 10 personas,1030
05,62,0 a 5 personas,4501
05,62,6 a 10 personas,468
05,71,0 a 5 personas,1138
05,71,6 a 10 personas,140
05,72,0 a 5 personas,10692
05,72,6 a 10 personas,1215
05,81,0 a 5 personas,17941
05,81,6 a 10 personas,1121
06,21,0 a 5 personas,22
06,21,6 a 10 personas,13
06,22,0 a 5 personas,41
06,22,6 a 10 personas,3
06,23,0 a 5 personas,194
06,23,6 a 10 personas,52
06,31,0 a 5 personas,1476
06,31,6 a 10 personas,193
06,32,0 a 5 personas,428
06,32,6 a 10 personas,47
06,33,0 a 5 personas,847
06,33,6 a 10 personas,43
06,43,0 a 5 personas,805
06,43,6 a 10 personas,147
06,46,0 a 5 personas,12193
06,46,6 a 10 personas,889
06,48,0 a 5 personas,316
06,48,6 a 10 personas,114
06,49,0 a 5 personas,45
06,49,6 a 10 personas,7
06,51,0 a 5 personas,141
06,51,6 a 10 personas,23
06,52,0 a 5 personas,589
06,52,6 a 10 personas,105
06,53,0 a 5 personas,617
06,53,6 a 10 personas,63
06,54,0 a 5 personas,656
06,54,6 a 10 personas,111
06,55,0 a 5 personas,3
06,55,6 a 10 personas,1
06,56,0 a 5 personas,434
06,56,6 a 10 personas,31
06,61,0 a 5 personas,308
06,61,6 a 10 personas,239
06,62,0 a 5 personas,1626
06,62,6 a 10 personas,197
06,71,0 a 5 personas,333
06,71,6 a 10 personas,52
06,72,0 a 5 personas,6019
06,72,6 a 10 personas,713
06,81,0 a 5 personas,6060
06,81,6 a 10 personas,346
07,21,0 a 5 personas,22
07,21,6 a 10 personas,11
07,22,0 a 5 personas,208
07,22,6 a 10 personas,53
07,23,0 a 5 personas,428
07,23,6 a 10 personas,133
07,31,0 a 5 personas,13211
07,31,6 a 10 personas,454
07,32,0 a 5 personas,3657
07,32,6 a 10 personas,126
07,33,0 a 5 personas,5210
07,33,6 a 10 personas,103
07,43,0 a 5 personas,4133
07,43,6 a 10 personas,493
07,46,0 a 5 personas,94565
07,46,6 a 10 personas,2250
07,48,0 a 5 personas,722
07,48,6 a 10 personas,219
07,49,0 a 5 personas,163
07,49,6 a 10 personas,22
07,51,0 a 5 personas,545
07,51,6 a 10 personas,99
07,52,0 a 5 personas,1576
07,52,6 a 10 personas,382
07,53,0 a 5 personas,1794
07,53,6 a 10 personas,108
07,54,0 a 5 personas,2596
07,54,6 a 10 personas,262
07,55,0 a 5 personas,2
07,56,0 a 5 personas,3232
07,56,6 a 10 personas,97
07,61,0 a 5 personas,1761
07,61,6 a 10 personas,1000
07,62,0 a 5 personas,5505
07,62,6 a 10 personas,742
07,71,0 a 5 personas,1976
07,71,6 a 10 personas,213
07,72,0 a 5 personas,27636
07,72,6 a 10 personas,1469
07,81,0 a 5 personas,26761
07,81,6 a 10 personas,1867
08,21,0 a 5 personas,44
08,21,6 a 10 personas,13
08,22,0 a 5 personas,124
08,22,6 a 10 personas,40
08,23,0 a 5 personas,384
08,23,6 a 10 personas,122
08,31,0 a 5 personas,3034
08,31,6 a 10 personas,318
08,32,0 a 5 personas,1708
08,32,6 a 10 personas,210
08,33,0 a 5 personas,2220
08,33,6 a 10 personas,282
08,43,0 a 5 personas,2755
08,43,6 a 10 personas,744
08,46,0 a 5 personas,43216
08,46,6 a 10 personas,3008
08,48,0 a 5 personas,490
08,48,6 a 10 personas,163
08,49,0 a 5 personas,168
08,49,6 a 10 personas,32
08,51,0 a 5 personas,372
08,51,6 a 10 personas,72
08,52,0 a 5 personas,3164
08,52,6 a 10 personas,481
08,53,0 a 5 personas,1549
08,53,6 a 10 personas,203
08,54,0 a 5 personas,2207
08,54,6 a 10 personas,355
08,55,0 a 5 personas,7
08,55,6 a 10 personas,5
08,56,0 a 5 personas,1039
08,56,6 a 10 personas,144
08,61,0 a 5 personas,1218
08,61,6 a 10 personas,1071
08,62,0 a 5 personas,5323
08,62,6 a 10 personas,626
08,71,0 a 5 personas,1557
08,71,6 a 10 personas,128
08,72,0 a 5 personas,11811
08,72,6 a 10 personas,1425
08,81,0 a 5 personas,21350
08,81,6 a 10 personas,1201
09,21,0 a 5 personas,15
09,21,6 a 10 personas,7
09,22,0 a 5 personas,295
09,22,6 a 10 personas,141
09,23,0 a 5 personas,1081
09,23,6 a 10 personas,222
09,31,0 a 5 personas,15748
09,31,6 a 10 personas,1026
09,32,0 a 5 personas,5218
09,32,6 a 10 personas,861
09,33,0 a 5 personas,6177
09,33,6 a 10 personas,777
09,43,0 a 5 personas,11048
09,43,6 a 10 personas,2254
09,46,0 a 5 personas,189938
09,46,6 a 10 personas,8145
09,48,0 a 5 personas,1067
09,48,6 a 10 personas,450
09,49,0 a 5 personas,357
09,49,6 a 10 personas,53
09,51,0 a 5 personas,864
09,51,6 a 10 personas,309
09,52,0 a 5 personas,8984
09,52,6 a 10 personas,1435
09,53,0 a 5 personas,4222
09,53,6 a 10 personas,852
09,54,0 a 5 personas,8311
09,54,6 a 10 personas,2319
09,55,0 a 5 personas,131
09,55,6 a 10 personas,39
09,56,0 a 5 personas,5934
09,56,6 a 10 personas,615
09,61,0 a 5 personas,3482
09,61,6 a 10 personas,2018
09,62,0 a 5 personas,18926
09,62,6 a 10 personas,1925
09,71,0 a 5 personas,3832
09,71,6 a 10 personas,625
09,72,0 a 5 personas,49556
09,72,6 a 10 personas,5712
09,81,0 a 5 personas,62083
09,81,6 a 10 personas,3317
10,21,0 a 5 personas,63
10,21,6 a 10 personas,2
10,22,0 a 5 personas,106
10,22,6 a 10 personas,23
10,23,0 a 5 personas,193
10,23,6 a 10 personas,71
10,31,0 a 5 personas,2006
10,31,6 a 10 personas,210
10,32,0 a 5 personas,1296
10,32,6 a 10 personas,159
10,33,0 a 5 personas,1401
10,33,6 a 10 personas,108
10,43,0 a 5 personas,1369
10,43,6 a 10 personas,273
10,46,0 a 5 personas,23597
10,46,6 a 10 personas,1283
10,48,0 a 5 personas,238
10,48,6 a 10 personas,60
10,49,0 a 5 personas,81
10,49,6 a 10 personas,10
10,51,0 a 5 personas,194
10,51,6 a 10 personas,44
10,52,0 a 5 personas,936
10,52,6 a 10 personas,166
10,53,0 a 5 personas,835
10,53,6 a 10 personas,46
10,54,0 a 5 personas,1082
10,54,6 a 10 personas,138
10,55,0 a 5 personas,4
10,55,6 a 10 personas,2
10,56,0 a 5 personas,699
10,56,6 a 10 personas,38
10,61,0 a 5 personas,503
10,61,6 a 10 personas,443
10,62,0 a 5 personas,2461
10,62,6 a 10 personas,301
10,71,0 a 5 personas,699
10,71,6 a 10 personas,70
10,72,0 a 5 personas,8535
10,72,6 a 10 personas,551
10,81,0 a 5 personas,9814
10,81,6 a 10 personas,510
11,21,0 a 5 personas,30
11,21,6 a 10 personas,7
11,22,0 a 5 personas,145
11,22,6 a 10 personas,30
11,23,0 a 5 personas,507
11,23,6 a 10 personas,176
11,31,0 a 5 personas,14902
11,31,6 a 10 personas,2190
11,32,0 a 5 personas,4821
11,32,6 a 10 personas,725
11,33,0 a 5 personas,5976
11,33,6 a 10 personas,479
11,43,0 a 5 personas,7931
11,43,6 a 10 personas,1232
11,46,0 a 5 personas,107333
11,46,6 a 10 personas,4108
11,48,0 a 5 personas,679
11,48,6 a 10 personas,179
11,49,0 a 5 personas,268
11,49,6 a 10 personas,47
11,51,0 a 5 personas,645
11,51,6 a 10 personas,110
11,52,0 a 5 personas,3003
11,52,6 a 10 personas,746
11,53,0 a 5 personas,3923
11,53,6 a 10 personas,236
11,54,0 a 5 personas,4633
11,54,6 a 10 personas,517
11,55,0 a 5 personas,3
11,55,6 a 10 personas,3
11,56,0 a 5 personas,3286
11,56,6 a 10 personas,209
11,61,0 a 5 personas,1924
11,61,6 a 10 personas,1495
11,62,0 a 5 personas,10285
11,62,6 a 10 personas,911
11,71,0 a 5 personas,2496
11,71,6 a 10 personas,213
11,72,0 a 5 personas,28669
11,72,6 a 10 personas,2284
11,81,0 a 5 personas,34531
11,81,6 a 10 personas,1308
12,21,0 a 5 personas,236
12,21,6 a 10 personas,17
12,22,0 a 5 personas,178
12,22,6 a 10 personas,39
12,23,0 a 5 personas,157
12,23,6 a 10 personas,50
12,31,0 a 5 personas,23398
12,31,6 a 10 personas,576
12,32,0 a 5 personas,2721
12,32,6 a 10 personas,109
12,33,0 a 5 personas,6234
12,33,6 a 10 personas,92
12,43,0 a 5 personas,2738
12,43,6 a 10 personas,282
12,46,0 a 5 personas,65210
12,46,6 a 10 personas,1664
12,48,0 a 5 personas,334
12,48,6 a 10 personas,74
12,49,0 a 5 personas,172
12,49,6 a 10 personas,14
12,51,0 a 5 personas,420
12,51,6 a 10 personas,59
12,52,0 a 5 personas,1358
12,52,6 a 10 personas,243
12,53,0 a 5 personas,970
12,53,6 a 10 personas,105
12,54,0 a 5 personas,1454
12,54,6 a 10 personas,156
12,55,0 a 5 personas,1
12,55,6 a 10 personas,1
12,56,0 a 5 personas,1914
12,56,6 a 10 personas,43
12,61,0 a 5 personas,959
12,61,6 a 10 personas,925
12,62,0 a 5 personas,3859
12,62,6 a 10 personas,589
12,71,0 a 5 personas,1355
12,71,6 a 10 personas,136
12,72,0 a 5 personas,20791
12,72,6 a 10 personas,1309
12,81,0 a 5 personas,17842
12,81,6 a 10 personas,1025
13,21,0 a 5 personas,61
13,21,6 a 10 personas,35
13,22,0 a 5 personas,120
13,22,6 a 10 personas,33
13,23,0 a 5 personas,230
13,23,6 a 10 personas,64
13,31,0 a 5 personas,9184
13,31,6 a 10 personas,547
13,32,0 a 5 personas,2384
13,32,6 a 10 personas,102
13,33,0 a 5 personas,2888
13,33,6 a 10 personas,149
13,43,0 a 5 personas,3186
13,43,6 a 10 personas,329
13,46,0 a 5 personas,57327
13,46,6 a 10 personas,1449
13,48,0 a 5 personas,239
13,48,6 a 10 personas,80
13,49,0 a 5 personas,97
13,49,6 a 10 personas,10
13,51,0 a 5 personas,472
13,51,6 a 10 personas,61
13,52,0 a 5 personas,1285
13,52,6 a 10 personas,287
13,53,0 a 5 personas,1560
13,53,6 a 10 personas,105
13,54,0 a 5 personas,2184
13,54,6 a 10 personas,203
13,55,6 a 10 personas,1
13,56,0 a 5 personas,2152
13,56,6 a 10 personas,56
13,61,0 a 5 personas,1122
13,61,6 a 10 personas,640
13,62,0 a 5 personas,4615
13,62,6 a 10 personas,410
13,71,0 a 5 personas,1266
13,71,6 a 10 personas,124
13,72,0 a 5 personas,16058
13,72,6 a 10 personas,960
13,81,0 a 5 personas,18929
13,81,6 a 10 personas,693
14,21,0 a 5 personas,36
14,21,6 a 10 personas,14
14,22,0 a 5 personas,252
14,22,6 a 10 personas,83
14,23,0 a 5 personas,805
14,23,6 a 10 personas,252
14,31,0 a 5 personas,13826
14,31,6 a 10 personas,1879
14,32,0 a 5 personas,7100
14,32,6 a 10 personas,961
14,33,0 a 5 personas,8028
14,33,6 a 10 personas,1209
14,43,0 a 5 personas,9658
14,43,6 a 10 personas,2317
14,46,0 a 5 personas,142678
14,46,6 a 10 personas,7013
14,48,0 a 5 personas,926
14,48,6 a 10 personas,288
14,49,0 a 5 personas,477
14,49,6 a 10 personas,227
14,51,0 a 5 personas,866
14,51,6 a 10 personas,137
14,52,0 a 5 personas,5358
14,52,6 a 10 personas,971
14,53,0 a 5 personas,4403
14,53,6 a 10 personas,496
14,54,0 a 5 personas,5985
14,54,6 a 10 personas,1029
14,55,0 a 5 personas,17
14,55,6 a 10 personas,9
14,56,0 a 5 personas,4038
14,56,6 a 10 personas,340
14,61,0 a 5 personas,3015
14,61,6 a 10 personas,2815
14,62,0 a 5 personas,13469
14,62,6 a 10 personas,1303
14,71,0 a 5 personas,4097
14,71,6 a 10 personas,422
14,72,0 a 5 personas,41403
14,72,6 a 10 personas,4402
14,81,0 a 5 personas,53307
14,81,6 a 10 personas,2445
15,21,0 a 5 personas,56
15,21,6 a 10 personas,28
15,22,0 a 5 personas,735
15,22,6 a 10 personas,152
15,23,0 a 5 personas,919
15,23,6 a 10 personas,153
15,31,0 a 5 personas,36649
15,31,6 a 10 personas,1707
15,32,0 a 5 personas,8580
15,32,6 a 10 personas,771
15,33,0 a 5 personas,12432
15,33,6 a 10 personas,919
15,43,0 a 5 personas,15144
15,43,6 a 10 personas,1605
15,46,0 a 5 personas,321779
15,46,6 a 10 personas,6971
15,48,0 a 5 personas,916
15,48,6 a 10 personas,254
15,49,0 a 5 personas,352
15,49,6 a 10 personas,19
15,51,0 a 5 personas,1362
15,51,6 a 10 personas,169
15,52,0 a 5 personas,6568
15,52,6 a 10 personas,1341
15,53,0 a 5 personas,6075
15,53,6 a 10 personas,607
15,54,0 a 5 personas,8970
15,54,6 a 10 personas,716
15,55,0 a 5 personas,16
15,55,6 a 10 personas,10
15,56,0 a 5 personas,11461
15,56,6 a 10 personas,372
15,61,0 a 5 personas,6741
15,61,6 a 10 personas,4535
15,62,0 a 5 personas,20959
15,62,6 a 10 personas,2087
15,71,0 a 5 personas,7297
15,71,6 a 10 personas,576
15,72,0 a 5 personas,72256
15,72,6 a 10 personas,3892
15,81,0 a 5 personas,96423
15,81,6 a 10 personas,2727
16,21,0 a 5 personas,72
16,21,6 a 10 personas,18
16,22,0 a 5 personas,226
16,22,6 a 10 personas,64
16,23,0 a 5 personas,368
16,23,6 a 10 personas,90
16,31,0 a 5 personas,16972
16,31,6 a 10 personas,960
16,32,0 a 5 personas,10002
16,32,6 a 10 personas,442
16,33,0 a 5 personas,9303
16,33,6 a 10 personas,404
16,43,0 a 5 personas,5829
16,43,6 a 10 personas,811
16,46,0 a 5 personas,99678
16,46,6 a 10 personas,2724
16,48,0 a 5 personas,464
16,48,6 a 10 personas,153
16,49,0 a 5 personas,272
16,49,6 a 10 personas,39
16,51,0 a 5 personas,699
16,51,6 a 10 personas,95
16,52,0 a 5 personas,1962
16,52,6 a 10 personas,438
16,53,0 a 5 personas,3178
16,53,6 a 10 personas,127
16,54,0 a 5 personas,4041
16,54,6 a 10 personas,375
16,55,0 a 5 personas,2
16,55,6 a 10 personas,2
16,56,0 a 5 personas,2829
16,56,6 a 10 personas,107
16,61,0 a 5 personas,1801
16,61,6 a 10 personas,1338
16,62,0 a 5 personas,10771
16,62,6 a 10 personas,856
16,71,0 a 5 personas,3442
16,71,6 a 10 personas,211
16,72,0 a 5 personas,29691
16,72,6 a 10 personas,1976
16,81,0 a 5 personas,32961
16,81,6 a 10 personas,1071
17,21,0 a 5 personas,15
17,21,6 a 10 personas,5
17,22,0 a 5 personas,177
17,22,6 a 10 personas,52
17,23,0 a 5 personas,163
17,23,6 a 10 personas,35
17,31,0 a 5 personas,6316
17,31,6 a 10 personas,317
17,32,0 a 5 personas,1303
17,32,6 a 10 personas,132
17,33,0 a 5 personas,2015
17,33,6 a 10 personas,70
17,43,0 a 5 personas,2439
17,43,6 a 10 personas,257
17,46,0 a 5 personas,45425
17,46,6 a 10 personas,1249
17,48,0 a 5 personas,188
17,48,6 a 10 personas,45
17,49,0 a 5 personas,80
17,49,6 a 10 personas,6
17,51,0 a 5 personas,256
17,51,6 a 10 personas,41
17,52,0 a 5 personas,1198
17,52,6 a 10 personas,228
17,53,0 a 5 personas,1078
17,53,6 a 10 personas,89
17,54,0 a 5 personas,1764
17,54,6 a 10 personas,145
17,55,0 a 5 personas,1
17,55,6 a 10 personas,1
17,56,0 a 5 personas,1271
17,56,6 a 10 personas,65
17,61,0 a 5 personas,855
17,61,6 a 10 personas,737
17,62,0 a 5 personas,3651
17,62,6 a 10 personas,461
17,71,0 a 5 personas,1177
17,71,6 a 10 personas,81
17,72,0 a 5 personas,14720
17,72,6 a 10 personas,984
17,81,0 a 5 personas,15658
17,81,6 a 10 personas,630
18,21,0 a 5 personas,21
18,21,6 a 10 personas,4
18,22,0 a 5 personas,75
18,22,6 a 10 personas,20
18,23,0 a 5 personas,193
18,23,6 a 10 personas,59
18,31,0 a 5 personas,2721
18,31,6 a 10 personas,252
18,32,0 a 5 personas,1067
18,32,6 a 10 personas,67
18,33,0 a 5 personas,1484
18,33,6 a 10 personas,54
18,43,0 a 5 personas,1063
18,43,6 a 10 personas,196
18,46,0 a 5 personas,21613
18,46,6 a 10 personas,1028
18,48,0 a 5 personas,194
18,48,6 a 10 personas,38
18,49,0 a 5 personas,51
18,49,6 a 10 personas,14
18,51,0 a 5 personas,175
18,51,6 a 10 personas,30
18,52,0 a 5 personas,855
18,52,6 a 10 personas,120
18,53,0 a 5 personas,929
18,53,6 a 10 personas,89
18,54,0 a 5 personas,958
18,54,6 a 10 personas,117
18,55,0 a 5 personas,1
18,56,0 a 5 personas,622
18,56,6 a 10 personas,35
18,61,0 a 5 personas,685
18,61,6 a 10 personas,387
18,62,0 a 5 personas,2378
18,62,6 a 10 personas,267
18,71,0 a 5 personas,646
18,71,6 a 10 personas,75
18,72,0 a 5 personas,11465
18,72,6 a 10 personas,1063
18,81,0 a 5 personas,9692
18,81,6 a 10 personas,468
19,21,0 a 5 personas,17
19,21,6 a 10 personas,9
19,22,0 a 5 personas,97
19,22,6 a 10 personas,27
19,23,0 a 5 personas,692
19,23,6 a 10 personas,266
19,31,0 a 5 personas,3780
19,31,6 a 10 personas,576
19,32,0 a 5 personas,2263
19,32,6 a 10 personas,476
19,33,0 a 5 personas,3805
19,33,6 a 10 personas,772
19,43,0 a 5 personas,4618
19,43,6 a 10 personas,1445
19,46,0 a 5 personas,54035
19,46,6 a 10 personas,5339
19,48,0 a 5 personas,753
19,48,6 a 10 personas,269
19,49,0 a 5 personas,236
19,49,6 a 10 personas,64
19,51,0 a 5 personas,582
19,51,6 a 10 personas,93
19,52,0 a 5 personas,6221
19,52,6 a 10 personas,838
19,53,0 a 5 personas,2793
19,53,6 a 10 personas,427
19,54,0 a 5 personas,3432
19,54,6 a 10 personas,808
19,55,0 a 5 personas,50
19,55,6 a 10 personas,13
19,56,0 a 5 personas,2034
19,56,6 a 10 personas,463
19,61,0 a 5 personas,2077
19,61,6 a 10 personas,1628
19,62,0 a 5 personas,7789
19,62,6 a 10 personas,902
19,71,0 a 5 personas,1757
19,71,6 a 10 personas,222
19,72,0 a 5 personas,18832
19,72,6 a 10 personas,2085
19,81,0 a 5 personas,28641
19,81,6 a 10 personas,1804
20,21,0 a 5 personas,5
20,21,6 a 10 personas,6
20,22,0 a 5 personas,551
20,22,6 a 10 personas,203
20,23,0 a 5 personas,388
20,23,6 a 10 personas,115
20,31,0 a 5 personas,41077
20,31,6 a 10 personas,607
20,32,0 a 5 personas,5165
20,32,6 a 10 personas,202
20,33,0 a 5 personas,5842
20,33,6 a 10 personas,93
20,43,0 a 5 personas,3809
20,43,6 a 10 personas,417
20,46,0 a 5 personas,89835
20,46,6 a 10 personas,1812
20,48,0 a 5 personas,587
20,48,6 a 10 personas,198
20,49,0 a 5 personas,240
20,49,6 a 10 personas,34
20,51,0 a 5 personas,796
20,51,6 a 10 personas,98
20,52,0 a 5 personas,1596
20,52,6 a 10 personas,421
20,53,0 a 5 personas,1447
20,53,6 a 10 personas,136
20,54,0 a 5 personas,2705
20,54,6 a 10 personas,259
20,55,0 a 5 personas,1
20,55,6 a 10 personas,2
20,56,0 a 5 personas,3055
20,56,6 a 10 personas,75
20,61,0 a 5 personas,2828
20,61,6 a 10 personas,1563
20,62,0 a 5 personas,7103
20,62,6 a 10 personas,963
20,71,0 a 5 personas,1658
20,71,6 a 10 personas,203
20,72,0 a 5 personas,33073
20,72,6 a 10 personas,1506
20,81,0 a 5 personas,24285
20,81,6 a 10 personas,1465
21,21,0 a 5 personas,477
21,21,6 a 10 personas,27
21,22,0 a 5 personas,324
21,22,6 a 10 personas,113
21,23,0 a 5 personas,605
21,23,6 a 10 personas,142
21,31,0 a 5 personas,29768
21,31,6 a 10 personas,1455
21,32,0 a 5 personas,10485
21,32,6 a 10 personas,616
21,33,0 a 5 personas,8333
21,33,6 a 10 personas,408
21,43,0 a 5 personas,7624
21,43,6 a 10 personas,866
21,46,0 a 5 personas,141448
21,46,6 a 10 personas,3428
21,48,0 a 5 personas,703
21,48,6 a 10 personas,187
21,49,0 a 5 personas,287
21,49,6 a 10 personas,24
21,51,0 a 5 personas,775
21,51,6 a 10 personas,98
21,52,0 a 5 personas,2599
21,52,6 a 10 personas,603
21,53,0 a 5 personas,3490
21,53,6 a 10 personas,273
21,54,0 a 5 personas,4417
21,54,6 a 10 personas,505
21,55,0 a 5 personas,4
21,55,6 a 10 personas,1
21,56,0 a 5 personas,4464
21,56,6 a 10 personas,153
21,61,0 a 5 personas,3245
21,61,6 a 10 personas,1855
21,62,0 a 5 personas,10681
21,62,6 a 10 personas,877
21,71,0 a 5 personas,2979
21,71,6 a 10 personas,411
21,72,0 a 5 personas,36308
21,72,6 a 10 personas,2061
21,81,0 a 5 personas,42285
21,81,6 a 10 personas,1394
22,21,0 a 5 personas,84
22,21,6 a 10 personas,15
22,22,0 a 5 personas,41
22,22,6 a 10 personas,14
22,23,0 a 5 personas,249
22,23,6 a 10 personas,82
22,31,0 a 5 personas,2973
22,31,6 a 10 personas,232
22,32,0 a 5 personas,1559
22,32,6 a 10 personas,175
22,33,0 a 5 personas,1659
22,33,6 a 10 personas,260
22,43,0 a 5 personas,2355
22,43,6 a 10 personas,644
22,46,0 a 5 personas,34232
22,46,6 a 10 personas,1666
22,48,0 a 5 personas,271
22,48,6 a 10 personas,105
22,49,0 a 5 personas,107
22,49,6 a 10 personas,19
22,51,0 a 5 personas,237
22,51,6 a 10 personas,46
22,52,0 a 5 personas,1761
22,52,6 a 10 personas,298
22,53,0 a 5 personas,1220
22,53,6 a 10 personas,170
22,54,0 a 5 personas,1816
22,54,6 a 10 personas,397
22,55,0 a 5 personas,7
22,55,6 a 10 personas,2
